FIRM,ASSETS TENDERS,FUEL TENDERS,EVENT TENDERS,TENANCY TENDERS,FOOD TENDERS,CONSTRUCTION TENDERS,ADVERTISEMENT TENDERS,SERVICES TENDERS,CONSUMABLES EDUCATION TENDERS,CONSUMABLES GENERAL TENDERS,CONSUMABLES HEALTH TENDERS,TRANSPORTATION TENDERS
COM_28399,0,0,0,0,0,0,2,388,0,4,0,0
COM_26185,0,8,0,0,0,0,0,1,0,0,0,0
COM_32152,22,0,1,0,0,1,1,2,0,32,24,0
COM_28773,4,0,0,0,0,0,0,1,0,8,21,0
COM_31332,1,0,0,1,3,10,3,34,0,14,0,0
COM_26302,4,0,0,0,0,6,0,18,0,0,0,0
COM_26427,0,0,0,0,0,19,0,21,0,0,0,0
COM_30932,0,0,5,0,0,0,0,31,0,0,0,0
COM_25977,78,2,0,0,0,0,0,19,0,4,0,0
COM_26340,0,5,0,0,0,0,0,0,0,0,0,0
COM_27895,0,0,11,0,1,0,0,48,1,0,0,0
COM_25301,26,0,0,0,0,0,0,5,0,8,37,0
COM_28228,14,0,3,0,66,4,2,43,3,28,0,0
COM_25964,3,3,0,0,0,0,0,0,0,0,0,0
COM_28010,0,0,32,1,1,0,1,21,0,0,0,0
COM_33633,1,0,54,0,1,0,0,42,0,0,0,0
COM_11322,0,0,0,0,0,0,0,10,0,0,0,0
COM_25462,2,0,0,0,0,6,0,1,0,3,0,0
COM_32022,4,0,7,0,0,0,1,29,0,4,0,0
COM_30472,0,0,0,0,9,0,0,0,0,1,0,0
COM_29471,8,0,0,1,0,0,0,12,0,0,0,2
COM_36883,4,4,0,0,0,0,0,0,0,0,0,0
COM_30619,16,0,2,0,40,0,2,17,1,16,0,0
COM_29526,0,0,7,0,0,0,0,22,0,0,0,0
COM_25560,0,0,0,0,0,0,0,4,1,0,0,0
COM_25953,0,0,0,0,0,0,0,4,1,0,0,0
COM_26018,0,0,0,0,0,0,0,4,1,0,0,0
COM_27776,0,0,0,0,0,0,0,4,1,0,0,0
COM_27888,0,0,0,0,0,0,0,4,1,0,0,0
COM_28029,1,0,0,0,0,0,0,4,1,0,0,0
COM_28030,0,0,0,0,0,0,0,4,1,0,0,0
COM_28093,1,0,0,0,0,0,0,4,1,0,0,0
COM_28122,0,0,0,0,0,0,0,4,1,0,0,0
COM_28244,0,0,0,0,0,0,0,4,1,0,0,0
COM_28321,0,0,0,0,0,0,0,4,1,0,0,0
COM_28776,0,0,0,0,0,0,0,4,1,0,0,0
COM_28986,0,0,0,0,0,0,0,4,1,0,0,0
COM_30743,0,0,0,0,0,0,0,4,1,0,0,0
COM_30761,0,0,0,0,0,0,0,7,0,0,0,0
COM_33642,0,0,0,0,0,0,0,5,0,0,0,0
COM_33882,0,0,0,0,0,0,0,5,0,0,0,0
COM_34116,0,0,0,0,0,0,0,5,0,0,0,0
COM_34467,0,0,0,0,0,0,0,4,1,0,0,0
COM_36487,0,0,0,0,0,0,0,4,1,0,0,0
COM_36676,0,0,0,0,0,0,0,4,1,0,0,0
COM_36689,0,0,0,0,0,0,0,4,1,0,0,0
COM_36696,0,0,0,0,0,0,0,4,1,0,0,0
COM_36697,0,0,0,0,0,0,0,4,1,0,0,0
COM_36698,0,0,0,0,0,0,0,4,1,0,0,0
COM_37114,0,0,0,0,0,0,0,4,1,0,0,0
COM_28937,7,0,0,1,0,0,0,8,0,5,1,0
COM_32764,0,0,0,0,0,0,0,3,0,15,30,0
COM_36636,0,0,0,0,0,0,0,0,0,4,5,0
COM_31003,2,0,3,0,13,0,0,48,5,32,0,0
COM_36863,0,0,0,0,0,0,0,24,0,0,0,0
COM_29616,0,0,0,0,0,25,0,42,0,0,0,0
COM_31538,1,1,1,0,0,49,0,32,0,0,0,0
COM_43269,1,1,0,0,1,78,0,42,0,0,0,0
COM_28119,4,1,2,0,0,35,0,76,0,0,0,1
COM_29909,0,0,1,0,0,32,0,37,0,0,0,0
COM_32150,2,0,3,0,0,31,0,57,0,0,0,0
COM_43669,0,0,1,0,0,9,0,33,0,0,0,0
COM_26729,2,0,0,0,0,0,0,8,0,0,0,0
COM_10969,0,0,0,0,0,0,0,5,0,0,0,0
COM_28114,1,0,0,0,0,0,0,22,0,14,0,0
COM_30827,5,0,0,1,0,0,0,73,0,27,0,0
COM_26990,1,8,0,0,0,0,0,0,0,0,0,0
COM_28032,3,15,0,0,0,0,0,0,0,0,0,0
COM_30205,101,0,0,0,0,0,0,3,1,3,4,0
COM_30009,14,0,0,1,0,4,0,17,0,1,0,0
COM_29888,10,3,8,0,8,2,3,35,0,6,0,0
COM_30481,4,0,3,3,0,34,0,57,0,0,0,0
